Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month,day,acq_time_str,hours,minutes,season,region_cluster,cluster_fire_count,monthly_cluster_fire_count,brightness_diff,high_risk,frp_category
107240,21.8883,86.4261,319.3,1.7,1.3,2018-03-11,519,0,MODIS,60,6.03,301.7,22.2,1,0,2018,3,11,519,5,19,2,12,49232,10270,17.600000000000023,0,Medium
686315,26.7216,95.2525,307.1,1.0,1.0,2025-02-26,756,1,MODIS,37,61.03,293.1,5.4,1,0,2025,2,26,756,7,56,1,11,41370,5791,14.0,0,Low
420686,30.6871,75.0304,320.5,1.1,1.0,2021-11-07,824,1,MODIS,62,6.03,300.4,12.1,1,0,2021,11,7,824,8,24,4,0,167610,73042,20.100000000000023,0,Medium
187811,24.252,92.7777,347.5,3.1,1.7,2019-03-13,745,1,MODIS,94,6.03,297.2,272.0,1,0,2019,3,13,745,7,45,2,2,57778,42248,50.30000000000001,1,Extreme
691829,19.9462,80.6198,323.2,1.0,1.0,2025-03-07,853,1,MODIS,60,61.03,311.8,7.6,1,0,2025,3,7,853,8,53,2,13,47964,18871,11.399999999999975,0,Low
676836,17.281,77.0695,319.5,1.3,1.1,2025-02-01,447,0,MODIS,66,61.03,304.5,12.2,1,0,2025,2,1,447,4,47,1,9,27481,5254,15.0,0,Medium
770679,16.0583,74.6736,307.2,1.2,1.1,2026-01-21,1544,0,MODIS,71,61.03,287.8,11.7,0,0,2026,1,21,1544,15,44,1,3,38436,8477,19.399999999999977,0,Medium
704725,25.6794,93.7169,303.1,1.0,1.0,2025-03-19,1458,0,MODIS,53,61.03,291.6,5.0,0,0,2025,3,19,1458,14,58,2,11,41370,18499,11.5,0,Low
406628,8.8558,78.0248,319.8,2.1,1.4,2021-06-19,545,0,MODIS,69,6.03,289.8,21.8,1,0,2021,6,19,545,5,45,3,6,13460,305,30.0,0,Medium
135437,23.0516,77.5643,346.0,1.2,1.1,2018-04-24,544,0,MODIS,88,6.03,325.2,30.6,1,0,2018,4,24,544,5,44,2,4,76528,39620,20.80000000000001,1,High
335997,21.4448,72.7098,322.6,3.9,1.8,2021-02-21,751,1,MODIS,0,6.03,302.2,80.3,1,0,2021,2,21,751,7,51,1,10,21095,2073,20.400000000000038,0,Extreme
657543,29.7822,75.9693,312.3,2.3,1.5,2024-11-11,928,1,MODIS,60,61.03,298.5,16.4,1,0,2024,11,11,928,9,28,4,0,167610,73042,13.800000000000011,0,Medium
365902,22.7084,76.7776,340.3,1.8,1.3,2021-03-25,751,1,MODIS,85,6.03,316.5,56.7,1,0,2021,3,25,751,7,51,2,4,76528,13167,23.80000000000001,1,High
382179,27.4538,84.1616,305.8,1.1,1.0,2021-04-02,1627,0,MODIS,66,6.03,293.3,6.7,0,0,2021,4,2,1627,16,27,2,7,41741,15320,12.5,0,Low
598853,23.7638,86.3959,316.6,1.0,1.0,2024-01-14,423,0,MODIS,21,61.03,298.3,11.2,1,2,2024,1,14,423,4,23,1,12,49232,3185,18.30000000000001,0,Medium
